300	300	0.0000	140	475	0.0000
300	300	0.3142	502	359	0.3142
300	300	0.6283	282	545	0.6283
300	300	0.9425	181	48	2.3562
300	300	1.2566	164	19	-0.7854
300	300	1.5708	286	587	1.5708
300	300	1.8850	90	327	-2.3562
300	300	2.1991	101	354	2.1991
300	300	2.5133	570	240	2.5133
300	300	2.8274	231	177	2.8274
300	300	3.1416	80	494	3.1416
300	300	3.4558	189	117	3.4558
300	300	3.7699	115	326	3.7699
300	300	4.0841	37	567	4.0841
300	300	4.3982	113	274	4.3982
300	300	4.7124	524	176	4.7124
300	300	5.0265	376	115	5.0265
300	300	5.3407	517	495	1.5708
300	300	5.6549	418	408	5.6549
300	300	5.9690	122	292	5.9690
